id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
1,41,Yes,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Media,Alta,2,Sales Executive,Alta,Single,5993.0,8,Yes,11,Alta,Baja,0,8,0,6,0,5
2,49,No,Travel_Frequently,Research & Development,8,Universitaria,Software Engineer,Alta,Media,2,Research Scientist,Media,Married,5130.0,1,No,23,Muy_Alta,Muy_Alta,1,10,3,10,1,7
4,37,Yes,Travel_Rarely,Research & Development,2,Secundaria,Other,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2090.0,6,Yes,15,Alta,Media,0,7,3,0,0,0
5,33,No,Travel_Frequently,Research & Development,3,Universitaria,Software Engineer,Muy_Alta,Alta,1,Research Scientist,Alta,Married,2909.0,1,Yes,11,Alta,Alta,0,8,3,8,3,0
7,27,No,Travel_Rarely,Research & Development,2,Universitaria,Systems Engineer,Baja,Alta,1,Laboratory Technician,Alta,Married,3468.0,9,No,12,Alta,Muy_Alta,1,6,3,2,2,2
8,32,No,Travel_Frequently,Research & Development,2,Universitaria,Software Engineer,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,3068.0,0,No,13,Alta,Alta,0,8,2,7,3,6
10,59,No,Travel_Rarely,Research & Development,3,Master,Systems Engineer,Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2670.0,4,Yes,20,Muy_Alta,Baja,3,12,3,1,0,0
11,30,No,Travel_Rarely,Research & Development,24,Universitaria,Software Engineer,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2693.0,1,No,22,Muy_Alta,Media,1,1,2,1,0,0
12,38,No,Travel_Frequently,Research & Development,23,Universitaria,Software Engineer,Muy_Alta,Media,3,Data Scientist,Media,Single,9526.0,0,No,21,Muy_Alta,Media,0,10,2,9,1,8
14,35,No,Travel_Rarely,Research & Development,16,Master,Systems Engineer,Baja,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2426.0,0,No,13,Alta,Alta,1,6,5,5,0,3
15,29,No,Travel_Rarely,Research & Development,15,Universitaria,Software Engineer,Muy_Alta,Media,2,Laboratory Technician,Media,Single,4193.0,0,Yes,12,Alta,Muy_Alta,0,10,3,9,0,8
16,31,No,Travel_Rarely,Research & Development,26,Universitaria,Software Engineer,Baja,Alta,1,Research Scientist,No aplica,Divorced,2911.0,1,No,17,Alta,Muy_Alta,1,5,1,5,4,3
18,34,No,Travel_Rarely,Research & Development,19,Universitaria,Systems Engineer,Media,Alta,1,Laboratory Technician,Alta,Divorced,2661.0,0,No,11,Alta,Alta,1,3,2,2,1,2
19,28,Yes,Travel_Rarely,Research & Development,24,Universitaria,Software Engineer,Alta,Media,1,Laboratory Technician,Media,Single,2028.0,5,Yes,14,Alta,Media,0,6,4,4,0,3
20,29,No,Travel_Rarely,Research & Development,21,Master,Software Engineer,Media,Muy_Alta,3,Data Scientist,Muy_Alta,Divorced,9980.0,1,No,11,Alta,Alta,1,10,1,10,8,8
21,32,No,Travel_Rarely,Research & Development,5,Master,Software Engineer,Baja,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,3298.0,0,Yes,12,Alta,Muy_Alta,2,7,5,6,0,5
23,53,No,Travel_Rarely,Sales,2,Universitaria,Life Sciences,Baja,Media,4,CMO,Media,Married,15427.0,2,No,16,Alta,Alta,0,31,3,25,3,7
24,38,No,Travel_Rarely,Research & Development,2,Universitaria,Software Engineer,Muy_Alta,Alta,1,Research Scientist,Alta,Single,3944.0,5,Yes,11,Alta,Alta,0,6,3,3,1,2
26,24,No,Non-Travel,Research & Development,11,Master,Other,Baja,Muy_Alta,2,Data Scientist,Muy_Alta,Divorced,4011.0,0,No,18,Alta,Muy_Alta,1,5,5,4,1,3
27,36,Yes,Travel_Rarely,Sales,9,Universitaria,Life Sciences,Alta,Media,1,Sales Representative,No aplica,Single,3407.0,7,No,23,Muy_Alta,Media,0,10,4,5,0,3
30,21,No,Travel_Rarely,Research & Development,15,Universitaria,Software Engineer,Alta,Alta,1,Research Scientist,Alta,Single,1232.0,1,No,14,Alta,Muy_Alta,0,0,6,0,0,0
31,34,Yes,Travel_Rarely,Research & Development,6,Universitaria,Systems Engineer,Media,Alta,1,Research Scientist,No aplica,Single,2960.0,2,No,11,Alta,Alta,0,8,2,4,1,3
32,53,No,Travel_Rarely,Research & Development,5,Universitaria,Other,Alta,Alta,5,CTO,Alta,Divorced,19094.0,4,No,11,Alta,Muy_Alta,1,26,3,14,4,8
35,42,No,Travel_Rarely,Sales,8,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6825.0,0,No,11,Alta,Muy_Alta,1,10,2,9,4,2
36,44,No,Travel_Rarely,Research & Development,7,Universitaria,Systems Engineer,Baja,Media,3,Software Engineer,Media,Married,10248.0,3,No,14,Alta,Muy_Alta,1,24,4,22,5,17
38,46,No,Travel_Rarely,Sales,2,Universitaria,Marketing,Media,Alta,5,CMO,Alta,Single,18947.0,3,No,12,Alta,Muy_Alta,0,22,2,2,2,1
39,33,No,Travel_Rarely,Research & Development,2,Universitaria,Systems Engineer,Alta,Alta,1,Laboratory Technician,Alta,Single,2496.0,4,No,11,Alta,Muy_Alta,0,7,3,1,0,0
40,44,No,Travel_Rarely,Research & Development,10,Universitaria,Other,Muy_Alta,Alta,2,Software Engineer,Alta,Married,6465.0,2,Yes,13,Alta,Muy_Alta,0,9,5,4,1,3
41,30,No,Travel_Rarely,Research & Development,9,Universitaria,Systems Engineer,Muy_Alta,No aplica,1,Laboratory Technician,No aplica,Single,2206.0,1,No,13,Alta,Baja,0,10,5,10,1,8
42,39,Yes,Travel_Rarely,Sales,5,Universitaria,Technical Degree,Muy_Alta,Alta,2,Sales Representative,Alta,Married,2086.0,3,No,14,Alta,Alta,1,19,6,1,0,0
